chain_name,chain_id
Ethereum,101
BNB Chain,102
Aptos,108
Polygon,109
Arbitrum,110
Optimism,111
Fantom,112
DFK,115
Harmony,116
Dexalot,118
Celo,125
Moonbeam,126
Fuse,138
Gnosis,145
Klaytn,150
Metis,151
CoreDAO,153
OKT (OKX),155
Canto,159
Sepolia,161
Meter.io,176
Kava,177
Mantle,181
Zora,195
Viction,196
Loot,197
MeritCircle (aka Beam),198
Telos,199
Astar,210
Orderly,213
Scroll,214
Arbitrum Nova,175
Base,184
OpBNB,202
Aurora,211
Public Goods Network (PGN),218
Avalanche,106
Polygon zkEVM,158
zkSync Era,165
XPLA,216
Tenet,173
Linea,183
Horizen EON,215
Manta,217
Moonriver,167
Conflux,212
ShimmerEVM,230
